shader,cs3,cs4,cs5,SPECULAR_COLOR_ENABLED,MULTI_UV2_SPECULAR_MAPPING_ENABLED,USE_OUTLINE_COLOR,TRANSPARENT_DELAY_ENABLED,FORCE_CHAR_LIGHT_DIRECTION_ENABLED,RECEIVE_SHADOWS,SPECULAR_MAPPING_ENABLED,MULTIPLICATIVE_BLENDING_ENABLED,NORMAL_MAPP_DXT5_NM_ENABLED,MULTI_UV_ENANLED,RIM_LIGHTING_ENABLED,ALPHA_BLENDING_ENABLED,MULTI_UV_FACE_ENANLED,ALPHA_TESTING_ENABLED,DUDV_MAPPING_ENABLED,MULTI_UV2_MULTIPLICATIVE_BLENDING_ENANLED,GLARE_ENABLED,SHADOW_COLOR_SHIFT_ENABLED,ADDITIVE_BLENDING_ENABLED,DOUBLE_SIDED,SUBTRACT_BLENDING_ENABLED,NORMAL_MAPPING_ENABLED,SKINNING_ENABLED,USE_OUTLINE,MULTI_UV_MULTIPLICATIVE_BLENDING_EX_ENANLED,NO_MAIN_LIGHT_SHADING_ENABLED,CUBE_MAPPING_ENABLED,GLARE_MAP_ENABLED,MULTI_UV_ADDITIVE_BLENDING_ENANLED,MULTI_UV_MULTIPLICATIVE_BLENDING_ENANLED,SPHERE_MAPPING_HAIRCUTICLE_ENABLED,SPECULAR_ENABLED,MULTI_UV2_ENANLED,NO_ALL_LIGHTING_ENABLED,MULTI_UV_SPECULAR_MAPPING_ENABLED,FOR_SHADOW,FOG_ENABLED,CARTOON_SHADING_ENABLED,VERTEX_COLOR_ENABLED,MULTI_UV_GLARE_MAP_ENABLED,PER_MATERIAL_MAIN_LIGHT_CLAMP_ENABLED,MULTI_UV_NORMAL_MAPPING_ENABLED,MULTI_UV_NO_DIFFUSE_MAPPING_ENANLED,MULTI_UV2_ADDITIVE_BLENDING_ENANLED,EMISSION_MAPPING_ENABLED,CASTS_SHADOWS,RIM_TRANSPARENCY_ENABLED,SPHERE_MAPPING_ENABLED,MULTI_UV2_MULTIPLICATIVE_BLENDING_EX_ENANLED,PORTRAIT_GLASS_FIX,FOR_EFFECT
ed8_chr.fx#0005981085FC4965C9AD4233381B8418,C_MON035_C00.pkg,C_MON035_C00.pkg,C_MON039.pkg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ed8_chr.fx#000B70A60FBDBEBDA6E319567ABD8469,None,None,C_MON470.pkg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
ed8_chr.fx#0016B06E37A751ED9EEB99829172746C,C_MON353.pkg,C_MON353.pkg,C_MON320.pkg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ed8_chr.fx#0019F3910B14E8FD7ADA30CEF0B51534,None,C_CHR025_C01.pkg,C_CHR025_C01.pkg,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ed8_chr.fx#0022171204F4E60EA496371367E19BDA,None,C_CHR967.pkg,C_CHR967.pkg,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ed8_chr.fx#0025C03F87D876F2053CCE47AD4E39E2,None,O_E07EVT36.pkg,O_E07EVT36.pkg,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ed8_chr.fx#002C786B5A13D6411EA4FF3EF0421FC3,None,None,C_ROB021_MG16.pkg,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
ed8_chr.fx#00520AF4797CEFFB3B142DC1DBB26D99,None,C_EQU832.pkg,C_EQU832.pkg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ed8_chr.fx#0058F53D67E616F421D71395938E9585,None,None,C_MON068_MG16.pkg,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ed8_chr.fx#0063D983DB0D4F39F813ED2F44713108,C_CHR388.pkg,C_CHR388.pkg,C_CHR388.pkg,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
